  Ti001:     3: 4842, 13670, 6110
  Ti002:     4: 44, 4611, 5735, 13803
  Ti003:     3: 13576, 5577, 5157
  Ti004:     3: 5055, 13335, 282
  Ti005:     3: 4403, 13359, 340
  Ti006:     3: 13494, 13865, 5504
  Ti007:     3: 71, 5774, 4886
  Ti008:     4: 4320, 13522, 106, 5407
  Ti009:     4: 5068, 13487, 13461, 13830
  Ti010:     3: 4309, 4808, 13629
  Ti011:     3: 138, 4789, 13391
  Ti012:     3: 4401, 545, 5564
  Ti013:     3: 5870, 13498, 13897
  Ti014:     4: 4650, 5755, 13536, 13817
  Ti015:     4: 4259, 515, 5365, 4450
  Ti016:     3: 58, 13329, 5045
  Ti017:     3: 4304, 4702, 13607
  Ti018:     3: 4235, 13452, 13537
  Ti019:     3: 4324, 13511, 13904
  Ti020:     3: 4263, 5924, 5181
  Ti021:     4: 13559, 4385, 4823, 5534
  Ti022:     4: 105, 5822, 13484, 4878
  Ti023:     4: 5173, 13352, 13351, 334
  Ti024:     4: 13374, 4706, 344, 4441
  Ti025:     4: 55, 4557, 5751, 13276
  Ti026:     3: 5101, 6131, 5324
  Ti027:     3: 84, 13843, 4671
  Ti028:     4: 4366, 5337, 13674, 13746
  Ti029:     4: 4389, 13535, 13546, 5790
  Ti030:     3: 4478, 5374, 13630
  Ti031:     3: 13538, 5543, 4220
  Ti032:     3: 5848, 13880, 4936
  Ti033:     3: 4742, 13557, 13587
  Ti034:     4: 121, 13336, 4807, 13850
  Ti035:     3: 4404, 5318, 564
  Ti036:     4: 91, 4643, 5799, 13311
  Ti037:     3: 5320, 13709, 6149
  Ti038:     3: 5165, 5312, 13483
  Ti039:     3: 13684, 5651, 5091
  Ti040:     3: 4748, 5836, 13873
  Ti041:     3: 4408, 13356, 5420
  Ti042:     3: 5824, 13326, 114
  Ti043:     3: 74, 4579, 5777
  Ti044:     3: 13369, 5317, 4191
  Ti045:     3: 4379, 5299, 13833
  Ti046:     3: 4275, 5020, 13593
  Ti047:     3: 4845, 5349, 6113
  Ti048:     2: 4393, 530
  Ti049:     3: 13622, 486, 608
  Ti050:     3: 4562, 13453, 13766
  Ti051:     3: 5424, 13700, 4501
  Ti052:     3: 7, 5624, 13784
  Ti053:     3: 4442, 5126, 6140
  Ti054:     3: 4230, 13330, 25
  Ti055:     3: 5879, 13395, 145
  Ti056:     3: 4388, 5498, 5108
  Ti057:     3: 13570, 473, 4837
  Ti058:     3: 4216, 13545, 13893
  Ti059:     3: 4399, 5134, 320
  Ti060:     3: 13540, 4741, 4448
  Ti061:     4: 51, 4679, 5746, 13810
  Ti062:     3: 13707, 6147, 5125
  Ti063:     3: 4202, 4678, 13435
  Ti064:     3: 4516, 5456, 13708
  Ti065:     3: 4402, 5289, 4411
  Ti066:     3: 4500, 5441, 13691
  Ti067:     3: 13399, 5178, 136
  Ti068:     2: 5510, 5483
  Ti069:     3: 4759, 5868, 13895
  Ti070:     3: 4295, 13495, 5148
  Ti071:     3: 4443, 5273, 588
